;Unnamed: 0;pengguna;Tweets;sentimen;step01;tokens;final_tokens;step02
0;0;OtterAng;@mediaindonesia Wah cocok ne, gw dukung 2024 menang di balai pustaka. Amin;0;user wah cocok ne gw dukung number menang di balai pustaka amin;['user', 'wah', 'cocok', 'ne', 'gw', 'dukung', 'number', 'menang', 'di', 'balai', 'pustaka', 'amin'];['user', 'wah', 'cocok', 'ne', 'gw', 'dukung', 'number', 'menang', 'di', 'balai', 'pustaka', 'amin'];user wah cocok ne gw dukung number menang di balai pustaka amin
1;1;mediaindonesia;Belasan perusahaan di wilayah Kota Tasikmalaya, Jawa Barat, melakuan pemutusan hubungan kerja (PHK) bagi pegawai.  https://t.co/0NGp6nLZpr;0;belasan perusahaan di wilayah kota tasikmalaya jawa barat melakuan pemutusan hubungan kerja phk bagi pegawai co0ngp6nlzpr;['belasan', 'perusahaan', 'di', 'wilayah', 'kota', 'tasikmalaya', 'jawa', 'barat', 'melakuan', 'pemutusan', 'hubungan', 'kerja', 'phk', 'bagi', 'pegawai', 'co0ngp6nlzpr'];['belasan', 'perusahaan', 'di', 'wilayah', 'kota', 'tasikmalaya', 'jawa', 'barat', 'melakuan', 'pemutusan', 'hubungan', 'kerja', 'phk', 'bagi', 'pegawai', 'co0ngp6nlzpr'];belasan perusahaan di wilayah kota tasikmalaya jawa barat melakuan pemutusan hubungan kerja phk bagi pegawai co0ngp6nlzpr
2;2;mediaindonesia;Latar belakang pengalaman Prabowo di dunia militer menjadi lengkap bila berpasangan dengan Erick Thohir  https://t.co/MI9SRBX8RK;0;latar belakang pengalaman prabowo di dunia militer menjadi lengkap bila berpasangan dengan erick thohir comi9srbx8rk;['latar', 'belakang', 'pengalaman', 'prabowo', 'di', 'dunia', 'militer', 'menjadi', 'lengkap', 'bila', 'berpasangan', 'dengan', 'erick', 'thohir', 'comi9srbx8rk'];['latar', 'belakang', 'pengalaman', 'prabowo', 'di', 'dunia', 'militer', 'menjadi', 'lengkap', 'bila', 'berpasangan', 'dengan', 'erick', 'thohir', 'comi9srbx8rk'];latar belakang pengalaman prabowo di dunia militer menjadi lengkap bila berpasangan dengan erick thohir comi9srbx8rk
3;3;mediaindonesia;9 Tips Sederhana untuk Memulai Rutininas Olahraga Lari   https://t.co/rzoCKTC99z;0;number tips sederhana untuk memulai rutininas olahraga lari corzocktc99z;['number', 'tips', 'sederhana', 'untuk', 'memulai', 'rutininas', 'olahraga', 'lari', 'corzocktc99z'];['number', 'tips', 'sederhana', 'untuk', 'memulai', 'rutininas', 'olahraga', 'lari', 'corzocktc99z'];number tips sederhana untuk memulai rutininas olahraga lari corzocktc99z
4;4;mediaindonesia;Sebagai informasi, Mandatory Serum Infused Brightening Body Lotion dilengkapi dengan kandungan serum infused di set… https://t.co/6mguLmErLB;0;sebagai informasi mandatory serum infused brightening body lotion dilengkapi dengan kandungan serum infused di set co6mgulmerlb;['sebagai', 'informasi', 'mandatory', 'serum', 'infused', 'brightening', 'body', 'lotion', 'dilengkapi', 'dengan', 'kandungan', 'serum', 'infused', 'di', 'set', 'co6mgulmerlb'];['sebagai', 'informasi', 'mandatory', 'serum', 'infused', 'brightening', 'body', 'lotion', 'dilengkapi', 'dengan', 'kandungan', 'serum', 'infused', 'di', 'set', 'co6mgulmerlb'];sebagai informasi mandatory serum infused brightening body lotion dilengkapi dengan kandungan serum infused di set co6mgulmerlb
5;5;mediaindonesia;RT @KementerianLHK: Sobat Hijau, Pemerintah Indonesia melalui Kementerian LHK, dan Inggris (UK) melalui the Foreign, Commonwealth and Devel…;-1;rt user sobat hijau pemerintah indonesia melalui kementerian lhk dan inggris uk melalui the foreign commonwealth and devel;['rt', 'user', 'sobat', 'hijau', 'pemerintah', 'indonesia', 'melalui', 'kementerian', 'lhk', 'dan', 'inggris', 'uk', 'melalui', 'the', 'foreign', 'commonwealth', 'and', 'devel'];['rt', 'user', 'sobat', 'hijau', 'pemerintah', 'indonesia', 'melalui', 'kementerian', 'lhk', 'dan', 'inggris', 'uk', 'melalui', 'the', 'foreign', 'commonwealth', 'and', 'devel'];rt user sobat hijau pemerintah indonesia melalui kementerian lhk dan inggris uk melalui the foreign commonwealth and devel
6;6;JinkimJo;RT @mediaindonesia: Video musik The Astronaut menunjukkan pesona unik Jin sebagai artis solo, saat ia mengungkapkan cintanya kepada ARMY. …;0;rt user video musik the astronaut menunjukkan pesona unik jin sebagai artis solo saat ia mengungkapkan cintanya kepada army;['rt', 'user', 'video', 'musik', 'the', 'astronaut', 'menunjukkan', 'pesona', 'unik', 'jin', 'sebagai', 'artis', 'solo', 'saat', 'ia', 'mengungkapkan', 'cintanya', 'kepada', 'army'];['rt', 'user', 'video', 'musik', 'the', 'astronaut', 'menunjukkan', 'pesona', 'unik', 'jin', 'sebagai', 'artis', 'solo', 'saat', 'ia', 'mengungkapkan', 'cintanya', 'kepada', 'army'];rt user video musik the astronaut menunjukkan pesona unik jin sebagai artis solo saat ia mengungkapkan cintanya kepada army
7;7;mediaindonesia;World Justice Project (WJP), organisasi yang bergerak untuk memajukan supremasi hukum, lewat penelitian bertajuk Ru… https://t.co/2cPODuqfw4;0;world justice project wjp organisasi yang bergerak untuk memajukan supremasi hukum lewat penelitian bertajuk ru co2cpoduqfw4;['world', 'justice', 'project', 'wjp', 'organisasi', 'yang', 'bergerak', 'untuk', 'memajukan', 'supremasi', 'hukum', 'lewat', 'penelitian', 'bertajuk', 'ru', 'co2cpoduqfw4'];['world', 'justice', 'project', 'wjp', 'organisasi', 'yang', 'bergerak', 'untuk', 'memajukan', 'supremasi', 'hukum', 'lewat', 'penelitian', 'bertajuk', 'ru', 'co2cpoduqfw4'];world justice project wjp organisasi yang bergerak untuk memajukan supremasi hukum lewat penelitian bertajuk ru co2cpoduqfw4
8;8;cocoblogger;Redam Masalah Air, Srikandi Ganjar Bangun Sumur untuk Warga Desa Pengkol https://t.co/DM0o2UYDxv;0;redam masalah air srikandi ganjar bangun sumur untuk warga desa pengkol codm0o2uydxv;['redam', 'masalah', 'air', 'srikandi', 'ganjar', 'bangun', 'sumur', 'untuk', 'warga', 'desa', 'pengkol', 'codm0o2uydxv'];['redam', 'masalah', 'air', 'srikandi', 'ganjar', 'bangun', 'sumur', 'untuk', 'warga', 'desa', 'pengkol', 'codm0o2uydxv'];redam masalah air srikandi ganjar bangun sumur untuk warga desa pengkol codm0o2uydxv
9;9;kokokdirgantoro;RT @mediaindonesia: Ia menyerukan kepada para mahasiswa untuk menjadi kekuatan perubahan.   https://t.co/mXrKUEqViE;0;rt user ia menyerukan kepada para mahasiswa untuk menjadi kekuatan perubahan comxrkueqvie;['rt', 'user', 'ia', 'menyerukan', 'kepada', 'para', 'mahasiswa', 'untuk', 'menjadi', 'kekuatan', 'perubahan', 'comxrkueqvie'];['rt', 'user', 'ia', 'menyerukan', 'kepada', 'para', 'mahasiswa', 'untuk', 'menjadi', 'kekuatan', 'perubahan', 'comxrkueqvie'];rt user ia menyerukan kepada para mahasiswa untuk menjadi kekuatan perubahan comxrkueqvie
