,pengguna,Tweets,sentimen
0,OtterAng,"@mediaindonesia Wah cocok ne, gw dukung 2024 menang di balai pustaka. Amin",0
1,mediaindonesia,"Belasan perusahaan di wilayah Kota Tasikmalaya, Jawa Barat, melakuan pemutusan hubungan kerja (PHK) bagi pegawai.  https://t.co/0NGp6nLZpr",0
2,mediaindonesia,Latar belakang pengalaman Prabowo di dunia militer menjadi lengkap bila berpasangan dengan Erick Thohir  https://t.co/MI9SRBX8RK,0
3,mediaindonesia,9 Tips Sederhana untuk Memulai Rutininas Olahraga Lari   https://t.co/rzoCKTC99z,0
4,mediaindonesia,"Sebagai informasi, Mandatory Serum Infused Brightening Body Lotion dilengkapi dengan kandungan serum infused di set… https://t.co/6mguLmErLB",0
5,mediaindonesia,"RT @KementerianLHK: Sobat Hijau, Pemerintah Indonesia melalui Kementerian LHK, dan Inggris (UK) melalui the Foreign, Commonwealth and Devel…",-1
6,JinkimJo,"RT @mediaindonesia: Video musik The Astronaut menunjukkan pesona unik Jin sebagai artis solo, saat ia mengungkapkan cintanya kepada ARMY. …",0
7,mediaindonesia,"World Justice Project (WJP), organisasi yang bergerak untuk memajukan supremasi hukum, lewat penelitian bertajuk Ru… https://t.co/2cPODuqfw4",0
8,cocoblogger,"Redam Masalah Air, Srikandi Ganjar Bangun Sumur untuk Warga Desa Pengkol https://t.co/DM0o2UYDxv",0
9,kokokdirgantoro,RT @mediaindonesia: Ia menyerukan kepada para mahasiswa untuk menjadi kekuatan perubahan.   https://t.co/mXrKUEqViE,0
10,mediaindonesia,Wakil Ketua Majelis Syuro Partai Keadilan Sejahtera Ahmad Heryawan bertemu calon presiden (capres) dari Partai NasD… https://t.co/GuuFZEDPbY,0
11,mediaindonesia,Ia menyerukan kepada para mahasiswa untuk menjadi kekuatan perubahan.   https://t.co/mXrKUEqViE,0
12,mediaindonesia,Wakil Ketua Majelis Syura Partai Keadilan Sejahtera (PKS) Ahmad Heryawan (Aher) mengatakan hubungan partainya denga… https://t.co/QEY3cnibcX,0
13,mediaindonesia,"Colekan dari PKS disampaikan melalui aneka pantun. Anies turut meresponsnya dengan pantun.

  https://t.co/JSfsV6J7CD",0
14,mediaindonesia,"Orde Kolaborasi, Tata Baru Pasca-Pembelahan Politik  https://t.co/qK9rJyOZNb",0
15,Davefranz5,@penjaganyankri @NasDem @DivHumas_Polri @CCICPolri @Puspen_TNI @BNPTRI @jokowi @mohmahfudmd @prabowo @edo751945… https://t.co/h2pUGMCE84,0
16,_ekopri,"@aries_bintan @A3jati Referensi media @rmol_id ..?
Centang biru aja nggak…🤣😂😅

Ambil referensi itu yg agak “umum” d… https://t.co/Wt0DwKGgdF",0
17,eriemrn,RT @mediaindonesia: Presiden Somalia Hassan Sheikh Mohamud mengatakan sedikitnya 100 orang tewas dan 300 terluka dalam dua ledakan bom mobi…,0
18,mediaindonesia,Presiden Somalia Hassan Sheikh Mohamud mengatakan sedikitnya 100 orang tewas dan 300 terluka dalam dua ledakan bom… https://t.co/Cc6VxEPMNH,0
19,XXX_SamURay63,"@mediaindonesia Iyee,  contohnya situng kpu 1+1=11, ato pembobolan dan penjualan data2 pribadi tiap sebentar, bjorka merajalela",0
20,mediaindonesia,"Guna mendukung kompetensi tenaga kerja konstruksi sekaligus sumber daya manusia (SDM) di bidang konstruksi, Nippon… https://t.co/WlaIfcIrFy",0
21,mediaindonesia,"Guna mendukung kompetensi tenaga kerja konstruksi sekaligus sumber daya manusia (SDM) di bidang konstruksi, Nippon… https://t.co/izCyZIcD8s",0
22,mediaindonesia,Relawan Puan Sebar Ratusan Paket Sembako untuk Masyarakat Banten  https://t.co/0QRXhT6Kz3,0
23,mediaindonesia,"Sementara, Menhub Budi Karya mengatakan, pemerintah akan memfasilitasi berbagai infrastruktur kendaraan listrik  https://t.co/3jH0O0MXIr",0
24,mediaindonesia,Martono optimistis langkah Jokowi menggenjot percepatan digitalisasi di Tanah Air berdampak pada kemajuan menuju In… https://t.co/Lpnt8eWazE,0
25,mediaindonesia,"RATUSAN angkutan kota (angkot) di Kota Depok, Jawa Barat dalam tiga tahun terakhir menunggak pajak. Total tunggakan… https://t.co/aT27Z40OIB",0
26,MdFarel,@mediaindonesia Bisa kali dibantu breakdown rinciannya,0
27,WibuAbdiNegoro,"RT @bagiwang: Ada banyak PBJ yang akhirnya tertahan karena kena AA, begitu mendekati akhir tahun ternyata banyak sisa. PBJ gak bisa jalan,…",0
28,mediaindonesia,"Pembalap Formula 1 (F1) Max Verstappen sukses merebut pole position Grand Prix (GP) Meksiko, setelah mengalahkan du… https://t.co/0HoPWuzneD",1
29,mediaindonesia,Petenis putri nomor satu dunia Iga Swiatek berkeinginan menutup musim 2022 dengan mahkota juara WTA Finals. Di mana… https://t.co/elcYLNIUGT,0
30,mediaindonesia,Luhut Binsar Pandjaitan yakin ekonomi Indonesia akan bertahan terhadap ketidakpastian ekonomi global dengan meningk… https://t.co/ozX4iAC11i,0
31,AdeIqbal17,"Perbanyak literasi lah, sulit kalau ingin jadi anggota parlemen sementara pengetahuan sejarahnya minim begitu.… https://t.co/bpxWc1TSWN",0
32,mediaindonesia,Ondoafi dari Suku Tibo ini mengungkapkan kegembiraannya atas kemajuan sikap Lukas sehingga sangkaan korupsi yang me… https://t.co/L7KnVSUQzJ,0
33,mediaindonesia,“Tingginya jumlah peserta dalam kompetisi bidang khusus ini mewakili keberhasilan upaya Daikin dalam mempromosikan… https://t.co/Iu9jWJxr6h,0
34,mediaindonesia,Telkomsel melalui platform video MAXstream kembali menghadirkan konten video on demand service berjudul Healing tel… https://t.co/mwZ6Ap8m5C,0
35,mediaindonesia,"Sehubungan dengan kejadian yang menimpa turis lokal dan mancanegara di Itaewon, Seoul, pada malam Halloween atau Sa… https://t.co/wA9H33vYID",0
36,gnijnasional,"RT @mediaindonesia: Dalam survei yang melibatkan 1.200 responden itu, Ridwan Kamil paling banyak dipilih karena dinilai sebagai pribadi sed…",0
37,CucupSupriyadi,"RT @mediaindonesia: Dalam survei yang melibatkan 1.200 responden itu, Ridwan Kamil paling banyak dipilih karena dinilai sebagai pribadi sed…",0
38,mediaindonesia,Kementerian Pendidikan Kebudayaan Riset dan Teknologi (Kemendikbudristek) RI telah menetapkan tujuh budaya tak bend… https://t.co/2DP9LludHe,0
39,AryaSap24,"RT @mediaindonesia: Dalam survei yang melibatkan 1.200 responden itu, Ridwan Kamil paling banyak dipilih karena dinilai sebagai pribadi sed…",0
40,mediaindonesia,Perundingan Batas ZEE dengan Vietnam Dipertanyakan Pengamat Maritim  https://t.co/XLHMUWzChn,0
41,El_Haqka,@mediaindonesia UMKM meronta-ronta karena daya beli masyarakat lemah. Ternyata karena duitnya disimpen ga dibelanjakan.,0
42,mediaindonesia,"Menurutnya, anggota atau pengurus AMAN yang merupakan anak adat dari berbagai wilayah adat di Indonesia, tidak laya… https://t.co/PHyZy1YJKN",0
43,Wisesa2024,"RT @mediaindonesia: Dalam survei yang melibatkan 1.200 responden itu, Ridwan Kamil paling banyak dipilih karena dinilai sebagai pribadi sed…",0
44,mediaindonesia,KKP optimistis mampu memenuhi target produksi udang nasional sebanyak 2 juta ton pada tahun 2024 dan memicu bangkit… https://t.co/tTgC67n0ym,0
45,mediaindonesia,Otoritas Jasa Keuangan (OJK) mengumumkan hasil Survei Nasional Literasi dan Inklusi Keuangan (SNLIK) 2022 menunjukk… https://t.co/m4x9iz5C1b,0
46,mediaindonesia,"Di tahun ini, BP Batam mengangkat tema “51 tahun BP Batam, Terus Berkarya” sebagai penyulut semangat dalam lika-lik… https://t.co/czSqkskyAk",0
47,daduk01,"@mediaindonesia @bintangemon Bisa di bayaran ke utang gk buk, kasihan pemimpin setelah ini, pusing mikirin utang yg kaga dia bikin",0
48,kuntoadji,Ikut serta secara aktif atasi krisis Dan resesi nasional .menjaga fiskal Dan moneter dengan seimbang https://t.co/Sexbt2PMLU,0
49,mediaindonesia,Wakil Kepala Polri Komisaris Jenderal Polisi Gatot Eddy Pramono mengatakan aparat kepolisian siap melakukan pengama… https://t.co/tPiGazpOTW,0
50,mediaindonesia,"Menteri Koperasi dan UKM Teten Masduki meresmikan Pos Bloc di Kota Medan, Sumatra Utara.   https://t.co/D73tzwr07q",0
51,mediaindonesia,"Masih mengusung nilai-nilai dari “FDR Riding Culture,” yaitu Safe, Care dan Respect, rangkaian kegiatan FDR Day jug… https://t.co/rW7BeURCQR",1
52,mediaindonesia,RATUSAN para pencari kerja terlihat duduk menunggu giliran antiran wawancara kerja untuk industri pernikahan yang d… https://t.co/r96vILS2PQ,0
53,suprayoga123,@penjaganyankri @NasDem @DivHumas_Polri @CCICPolri @Puspen_TNI @BNPTRI @jokowi @mohmahfudmd @prabowo @edo751945… https://t.co/v7Nt8r4a5C,0
