"DATE","NUMBER","CUSTOMERS","KGS NETTO","PEMBELIAN"
"3-Jan-22","1/MMP-PE-TSJ/I/2022","TOHO BUSSAN KAISHA, LTD.","10,246.56","Debit"
"3-Jan-22","1/MMP-PE-TBK/I/2022(S)","TOHO BUSSAN KAISHA, LTD.","14.00","Debit"
"3-Jan-22","1/MMP-PE-MRH/I/2022","MARUHA NICHIRO CORPORATION","5,292.00","Debit"
"4-Jan-22","1/MMP-NCR/I/2022(S)","NICHIREI FRESH INC.","8.41","Debit"
"4-Jan-22","1/MMP-SQ-TW/I/2022","SEA QUEENLET/ORIENT","10,463.00","Cek"
"4-Jan-22","1/MMP-SQ-PE/I/2022","SEA QUEENLET/ORIENT","1,844.40","Debit"
"5-Jan-22","1/MMP-PDNCR/I/2022","NICHIREI FRESH INC.","15,000.00","Cek"
"5-Jan-22","1/MMP-NCR-PM/I/2022","NICHIREI FRESH INC.","2.48","Debit"
"5-Jan-22","1/MMP-PE-TYR/I/2022","TOYO REIZO CO., LTD","6,156.00","Cek"
"5-Jan-22","1/MMP-NPE/I/2022","TOHO BUSSAN KAISHA, LTD.","15,180.00","Cek"
"6-Jan-22","1/MMP-PE-OKY/I/2022","OKAYA AND CO., LTD","13,600.00","Cek"
"7-Jan-22","2/MMP-PDNCR/I/2022","NICHIREI FRESH INC.","15,000.00","Cek"
"10-Jan-22","1/MMP-SC-PE/I/2022","TOHO BUSSAN KAISHA, LTD.","8,753.64","Debit"
"11-Jan-22","1/MMP-NCR/I/2022","NICHIREI FRESH INC.","9,520.80","Debit"
"11-Jan-22","1/MMP-NCP/I/2022","NICHIREI FRESH INC.","7,620.00","Debit"
"11-Jan-22","1/MMP-PE-NCR/I/2022(S)","NICHIREI FRESH INC.","6.85","Debit"
"11-Jan-22","2/MMP-PE-OKY/I/2022","OKAYA AND CO., LTD","5,922.00","Debit"
"12-Jan-22","2/MMP-SC-PE/I/2022","TOHO BUSSAN KAISHA, LTD.","8,753.64","Debit"
"12-Jan-22","1/PMM-NCR-USA/I/2022","AN DERINGER, USA","13,295.36","Debit"
"15-Jan-22","3/MMP-SC-PE/I/2022","TOHO BUSSAN KAISHA, LTD.","8,382.36","Debit"
"18-Jan-22","3/MMP-PDNCR/I/2022","NICHIREI FRESH INC.","15,000.00","Cek"
"18-Jan-22","1/MMP-JCU-PD/I/2022","TOHO BUSSAN KAISHA, LTD.","1,170.00","Debit"
"18-Jan-22","1/MMP-JCU-PE/I/2022","TOHO BUSSAN KAISHA, LTD.","9,164.88","Debit"
"18-Jan-22","1/MMP-TBK/PM/I/2022","TOHO BUSSAN KAISHA, LTD.","189.40","Debit"
"19-Jan-22","1/MMP-NP-SM/I/2022","TOHO BUSSAN KAISHA, LTD.","7,712.00","Debit"
"19-Jan-22","1/MMP-KN/I/2022","TOHO BUSSAN KAISHA, LTD.","756.00","Debit"
"19-Jan-22","2/MMP-KN/I/2022","TOHO BUSSAN KAISHA, LTD.","2,112.00","Debit"
"19-Jan-22","2/MMP-PE-TSJ/I/2022","TOHO BUSSAN KAISHA, LTD.","7,929.60","Debit"
"19-Jan-22","1/MMP-FS/TBK/I/2022(S)","TOHO BUSSAN KAISHA, LTD.","7.00","Debit"
"22-Jan-22","1/MMP-PE-DNS/I/2022","TOHO BUSSAN KAISHA, LTD.","9,031.68","Debit"
"22-Jan-22","2/MMP-NCR/I/2022","NICHIREI FRESH INC.","2,180.80","Debit"
"22-Jan-22","2/MMP-NCP/I/2022","NICHIREI FRESH INC.","12,837.60","Debit"
